,NUMERO_DE_CLIENTE,FOTO_MES,MARKETING_ACTIVO_ULTIMOS90DIAS,CLIENTE_SUCURSAL,CLIENTE_EDAD,CLIENTE_ANTIGUEDAD,MRENTABILIDAD,MRENTABILIDAD_ANNUAL,MCOMISIONES,MACTIVOS_MARGEN,MPASIVOS_MARGEN,MCUENTA_CORRIENTE_PAQUETE,MCAJA_AHORRO_PAQUETE,MCAJA_AHORRO_DOLARES,MDESCUBIERTO_PREACORDADO,MCUENTAS_SALDO,CTARJETA_DEBITO_TRANSACCIONES,MAUTOSERVICIO,CTARJETA_VISA_TRANSACCIONES,MTARJETA_VISA_CONSUMO,MTARJETA_MASTER_CONSUMO,CPRESTAMOS_PERSONALES,MPRESTAMOS_PERSONALES,MPRESTAMOS_PRENDARIOS,MPRESTAMOS_HIPOTECARIOS,MPLAZO_FIJO_DOLARES,MTITULOS,MPLAN_SUELDO,MCUENTA_DEBITOS_AUTOMATICOS,MTTARJETA_VISA_DEBITOS_AUTOMATIC,MTTARJETA_MASTER_DEBITOS_AUTOMAT,MPAGOMISCUENTAS,CCAJEROS_PROPIOS_DESCUENTOS,MCAJEROS_PROPIOS_DESCUENTOS,CTARJETA_VISA_DESCUENTOS,MCOMISIONES_MANTENIMIENTO,CCOMISIONES_OTRAS,MCOMISIONES_OTRAS,MTRANSFERENCIAS_EMITIDAS,CEXTRACCION_AUTOSERVICIO,MEXTRACCION_AUTOSERVICIO,MCHEQUES_DEPOSITADOS,MCHEQUES_EMITIDOS,CCALLCENTER_TRANSACCIONES,CHOMEBANKING_TRANSACCIONES,TCAJAS,MCAJEROS_PROPIO,MASTER_MFINANCIACION_LIMITE,MASTER_MSALDOTOTAL,MASTER_MSALDOPESOS,MASTER_MCONSUMOSPESOS,MASTER_MPAGADO,MASTER_MPAGOSPESOS,MASTER_MPAGOMINIMO,VISA_MARCA_ATRASO,VISA_CUENTA_ESTADO,VISA_MFINANCIACION_LIMITE,VISA_FVENCIMIENTO,VISA_MSALDOTOTAL,VISA_MSALDOPESOS,VISA_MCONSUMOSPESOS,VISA_MPAGADO,VISA_MPAGOSPESOS,VISA_MPAGOMINIMO,CLAVE,meses_activo
523166,22533402,201308,1,743,51,71,71004,654577,28757,35587,522,-33947,13477,0,117,0,0,0,4,318971,116898,3,622360,0,0,0,0,0,0,0,0,0,0,0,0,27378,5,32573,0,0,0,0,0,0,2,1.0,0,4191267,383528,383528,46332,0,-8658,8658,0,10,4191267,20131031,553497,647591,0,0,-25857,26325,22734710,14
40410,27555365,201310,1,653,55,91,133814,1384641,69225,52211,2993,-587614,0,0,117,0,0,0,17,32935,531526,2,5086732,0,0,0,0,0,4183,588,0,2690,0,0,1,27378,12,77807,0,0,0,0,0,0,129,0.0,0,3267638,475974,475974,332029,0,-346157,1872,0,10,3245082,20150228,267706,313216,140708,0,-190595,5382,27756675,14
266850,9047501,201309,1,350,54,285,29629,836946,33374,-8421,522,402988,77,0,117,524988,3,97228,23,595934,112706,0,0,0,0,0,0,0,0,775,258,0,0,6798,0,18392,6,37512,0,0,0,0,1059048,0,0,0.0,0,12636,113637,113637,50136,113724,-76635,2574,0,10,18954,20140531,48631,568982,451328,0,-5499,585,9248810,14
483810,8249927,201310,1,353,41,286,164349,1737984,5892,0,135434,0,2,"1,9368366E+7",0,"2,659504E+7",0,0,0,0,0,0,0,0,0,"2,839354E+7",0,1310283,0,0,0,0,0,0,0,86,2,6622,0,5,95355,0,0,0,0,1.0,95355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8451237,14
10831,25979682,201309,1,227,27,99,41984,875652,10527,21389,5497,-15913,260913,19,117,259825,7,190176,7,188778,79205,3,5622103,0,0,0,0,1338714,12,1514,0,722,0,3744,0,1872,8,11831,0,10,35100,0,0,0,63,1.0,35100,78975,8085,8085,0,8085,-80994,4095,0,10,9477,20160430,16264,190288,151396,0,-189178,819,26180991,14
52641,35764296,201309,1,260,29,62,19803,386645,22494,-10492,8192,-64194,164236,3036743,117,4662695,2,21879,21,458539,24253,0,0,0,"1,0178404E+7",0,0,1712412,1453,518,340,0,0,0,0,0,8,25282,0,0,0,0,0,0,36,0.0,0,22113,239307,239307,42928,0,-25857,11232,0,10,25272,20140930,395432,462655,105668,462655,-314128,12285,35965605,14
422412,21765580,201309,1,17,30,124,3402,336391,25152,5029,255,-239789,240396,0,117,0,2,20735,3,55914,0,1,494749,0,0,0,0,0,1065,21,0,805,0,0,0,18392,8,28271,0,9,80145,0,0,0,78,1.0,17550,15795,0,0,0,0,0,0,0,10,15795,20140831,48011,56172,2094,0,-219446,1755,21966889,14
498970,34834439,201309,1,380,43,66,51737,464939,4545,3913,146,-72841,92,0,117,0,0,0,1,3899,0,1,1567606,0,0,0,0,0,0,0,0,0,0,0,0,18392,4,51086,0,0,0,0,0,0,0,0.0,0,78975,0,0,0,0,0,0,0,10,9477,20140430,35496,4153,0,4153,-273438,2106,35035748,12
515576,35482079,201310,1,629,53,18,1845,59144,1666,0,153,0,14881,0,117,12736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,1,1872,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,10,15795,20150531,0,0,0,0,0,0,35683389,14
5142,15694358,201310,1,374,53,286,155476,1729251,52763,-2145,89934,0,5639762,16937,117,5945894,66,3120379,10,518813,0,0,0,0,0,"3,8250736E+7",7711294,465075,3689,1140,0,2488,8,30849,5,0,70,8271,0,4,58500,0,0,6,42,0.0,58500,8558099,0,0,0,0,0,0,0,10,8558099,20180331,35667,417303,425376,0,-31512,1638,15895668,14
25676,25823338,201309,1,356,35,100,26426,475255,20379,182,3349,30779,107154,0,117,6298,0,0,8,308516,0,0,0,0,0,0,0,0,0,1169,0,0,0,0,0,18392,2,22906,0,0,0,67509,17550,2,38,0.0,0,25272,0,0,0,0,0,0,0,10,25272,20150228,26425,309172,177847,0,-296777,4095,26024647,14
246750,22872500,201309,1,338,32,118,67335,83853,16343,42779,804,-237689,0,0,117,0,1,19749,5,60329,0,3,4838728,0,0,0,0,0,12,0,0,189,0,0,0,18392,7,18371,0,8,23400,0,0,0,49,0.0,0,9477,0,0,0,0,-11793,0,0,10,9477,20150131,0,0,0,0,0,0,23073809,14
296464,7663417,201309,1,689,56,60,96357,798316,63815,25975,1839,-167896,0,0,117,0,0,0,35,473729,619477,0,0,0,0,0,0,0,0,714,614,0,0,0,0,18392,6,71726,0,0,0,1638,0,0,0,0.0,0,110565,1787961,1279084,570288,7020,-1170,68562,0,10,12636,20140228,1671803,1586205,333198,0,-4095,69381,7864726,14
538717,24600166,201309,1,455,59,104,21793,45655,1753,-1537,5181,0,527487,0,117,391411,0,0,3,122351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18392,2,19703,0,0,0,0,83772,0,0,1.0,0,12636,0,0,0,0,0,0,0,10,15795,20150131,105711,123681,0,0,-123918,3744,24801475,14
388138,27387468,201310,1,941,35,82,62343,471836,30541,26042,1139,-302098,3541,0,117,0,8,248558,49,687702,27554,4,1239857,0,0,0,0,1080846,63,45,58,0,1,1755,0,1345,12,34328,0,8,82017,0,0,7,21,0.0,48555,110565,2808,2808,27554,0,-5949,117,0,10,25272,20151031,10156,1188252,104711,0,-18486,25389,27588778,6
381473,8349230,201309,1,509,41,285,40116,543266,32221,148,5268,0,165378,521864,117,977549,0,0,15,312092,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,18392,2,36216,0,0,0,0,0,0,4,0.0,0,6318,0,0,0,0,0,0,0,10,9477,20160430,269707,304455,18098,315696,-458016,6552,8550539,14
348996,38513791,201310,1,131,28,45,16232,269022,18018,-467,-1059,0,94989,498,117,74466,0,0,4,68151,0,0,0,0,0,0,0,0,0,236,0,0,0,0,1,18392,3,20251,0,0,0,0,0,0,0,0.0,0,110565,0,0,0,0,0,0,0,10,12636,20180331,49211,57576,18923,0,-53995,234,38715101,14
70452,10196468,201310,1,800,40,91,152116,2451916,55604,73394,9095,-6869,420021,0,117,113201,9,303798,18,794397,213265,1,9281785,0,"1,1270808E+7",0,0,0,0,3605,281,0,1,27834,0,27378,13,62497,0,5,128700,72540,0,0,18,0.0,99450,3245082,31761,186035,185294,0,-104224,11349,0,10,4346007,20150430,776519,78941,478456,0,-69986,28548,10397778,14
560768,23899611,201309,0,803,0,99,100228,0,54968,32954,5729,0,263037,427,117,197751,0,0,2,42471,396213,1,5304275,0,0,0,0,0,33,425,376,0,0,0,0,27378,5,62265,0,0,0,0,0,2,61,1.0,0,3150549,402021,402021,37631,402021,-388689,18603,0,10,4219402,20140331,3659,4281,42471,4281,-4281,117,24100920,14
229166,44722656,201310,0,1415,0,16,109165,0,0,0,0,24631,0,0,117,2223996,0,0,22,1243431,527921,0,0,"1,1101819E+7",0,0,0,0,0,0,0,0,0,0,0,27378,13,82111,0,0,0,3909672,0,0,0,1.0,0,3267638,212648,4538,368129,0,-304286,0,0,10,4376214,20150731,2787306,2406666,1035507,0,-264053,49842,44923966,14
568114,7249616,201309,1,227,43,191,32232,403996,19506,4767,611,0,395628,0,117,99138,15,368155,7,269631,151258,0,0,0,0,0,0,1492218,3800,0,0,0,0,4681,0,1872,7,21924,0,7,78390,0,0,0,6,0.0,78390,110565,351441,351441,45587,0,-16965,5499,0,10,12636,20161031,379552,444075,141486,0,-11349,2808,7450925,12
88119,7063948,201310,1,233,38,75,66502,851881,25095,5772,29619,0,1318434,"1,0216165E+7",117,"1,3227721E+7",10,277451,15,380103,0,1,1343333,0,0,0,0,1724931,690,291,0,1971,0,0,1,4446,10,28206,0,11,86580,0,0,0,74,0.0,66690,3267638,0,0,0,0,0,0,0,10,6519697,20150430,334543,388998,68742,0,-294927,6435,7265258,14
605070,27898762,201308,1,134,37,88,40446,646752,16836,-5101,25281,0,1603218,2143,117,348812,15,174193,19,385662,51264,0,0,0,0,6188277,0,1197846,326,684,0,9127,15,0,18,1872,7,19071,0,4,15210,0,0,3,81,1.0,0,50544,51298,51298,37908,0,-79028,819,0,10,44226,20150630,329896,385978,250643,0,-218697,1755,28100070,14
328341,8086456,201308,1,491,33,86,22507,46359,9265,64,11254,0,796324,0,117,322626,13,161887,7,380185,289004,0,0,0,0,776752,1645696,1740141,1635,1035,0,4949,13,3597,1,0,6,10494,0,0,0,0,0,0,134,0.0,0,306265,290349,290349,8775,290349,-356889,1053,0,10,306265,20160831,326541,382052,156195,382052,-329808,12753,8287764,14
168348,18800606,201310,1,560,36,143,33272,373018,3382,-7985,7517,-105,500852,0,117,218897,2,87545,20,55467,95728,0,0,0,0,0,0,0,521,1563,0,4475,1,6298,0,18392,7,38012,0,0,0,0,0,3,120,0.0,0,110565,97746,97746,0,0,-124097,9009,0,10,12636,20160531,453432,557944,243374,530274,-478255,7371,19001916,14
129984,23708324,201310,1,215,45,112,80576,518838,23945,47463,94,-14554,24395,0,117,3464,0,0,4,44444,86814,2,620311,0,0,0,0,0,12,0,634,0,0,0,0,18392,7,26913,0,0,0,0,0,4,0,0.0,0,110565,87508,87508,86814,0,-83382,351,0,10,15795,20140331,38711,45291,0,0,-45404,3744,23909634,8
140935,24152576,201310,1,599,28,107,34263,325071,9129,-6275,27757,4059,2505414,4371,117,2550743,7,291211,4,114475,0,0,0,0,0,0,0,1441674,0,0,0,130,1,4387,2,0,6,10262,0,1,35100,0,0,0,37,0.0,35100,0,0,0,0,0,0,0,0,10,25272,20160430,99784,116747,0,116747,-206562,585,24353886,14
73292,25809037,201308,1,470,34,99,30411,122646,9104,-3987,22198,2015603,55489,49758,117,377568,0,0,2,53901,1813,0,0,0,0,0,696,144612,0,0,0,3590,0,0,0,2808,4,10313,44779,0,0,3297427,0,0,98,0.0,0,110565,1856,1856,0,0,-1861,117,0,10,15795,20160430,46756,54704,0,0,-59053,5382,26010345,14
467941,23265377,201308,1,2,27,112,122776,1485808,33727,-12067,88177,0,8483841,141268,117,"1,3810091E+7",52,879306,23,625555,0,0,0,0,0,0,0,1447407,1238,481,0,2664,55,613,13,3042,6,38205,0,6,166140,0,0,0,101,1.0,95940,12636,0,0,0,0,0,0,0,10,15795,20180131,514944,602484,121346,0,-370375,16614,23466685,14
250598,10008496,201310,1,797,67,177,45564,53528,37684,93,5805,0,483941,0,117,580198,0,0,12,403754,0,0,0,0,0,0,0,0,1180,576,0,0,0,0,0,18392,6,42357,0,0,0,0,0,0,3,0.0,0,110565,0,0,0,0,0,0,0,10,12636,20140228,1361069,159245,108172,0,-17199,32877,10209806,14
539780,29650590,201310,1,146,27,82,41976,439591,19776,12642,6332,-21332,374445,0,117,0,6,80617,27,573029,0,3,2918329,0,0,0,0,132210,0,85,0,295,2,3066,0,0,9,22227,0,11,97110,0,0,0,15,1.0,57330,110565,0,0,0,0,0,0,0,10,12636,20150430,494652,578742,211224,0,-213283,6201,29851900,12
435621,8541536,201309,1,455,48,232,37126,1078824,28511,635,6728,-36312,70238,4222356,117,4230753,4,330408,1,17472,0,0,0,0,0,0,0,0,1179,175,0,0,0,89025,0,18392,7,32046,0,0,0,32760,0,0,6,0.0,0,78975,0,0,0,0,0,0,0,10,31590,20180331,14934,17472,17472,0,-17472,0,8742845,14
342361,10294502,201309,1,689,44,178,94259,1151537,23521,3466,2580,-17925,3782426,439,117,"1,6163342E+7",2,24453,7,53156,0,0,0,0,2816924,0,0,84591,0,0,0,0,0,0,0,18392,5,26437,0,0,0,0,0,0,31,0.0,0,31590,-29747,-29747,0,0,0,0,0,10,44226,20131231,623552,729555,4742,16965,-64935,819,10495811,14
293048,7682770,201309,1,452,46,232,58223,1156443,60114,-13003,11387,-9583,70354,0,117,0,0,0,53,1989475,974751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27378,5,67567,0,0,0,0,0,0,35,0.0,0,4263084,1148688,252497,89619,0,-224394,21762,1,10,63953,20131130,1709644,1862858,1361334,0,-1662952,19656,7884079,14
62976,10753739,201308,1,125,58,231,23594,696918,22706,-2621,338,-964,88896,16024,117,401879,1,37443,2,151399,1404,0,0,0,0,0,0,0,12,1514,0,0,1,0,3,18392,5,25721,0,0,0,754006,0,0,6,1.0,0,15795,14152,14152,1404,14152,-273964,0,0,10,37908,20140930,130436,15261,151399,15261,-15261,702,10955047,14
601615,8231415,201310,1,665,57,71,126362,143557,51402,65324,-1256,-748004,0,100622,117,101171,0,0,32,534199,0,2,1576777,0,0,0,0,0,0,2457,0,0,0,0,3,27378,10,57775,0,0,0,0,0,0,5,1.0,0,4376214,0,0,0,0,0,0,0,10,6565012,20131231,3911121,4576011,231183,0,-87904,4212,8432725,14
461865,30808614,201308,1,167,43,76,22318,115842,2930,-8045,2078,-29,64805,318785,117,369266,1,1170,21,353173,73562,0,0,0,0,0,0,0,0,477,0,0,1,0,8,18392,5,3319,0,0,0,0,0,0,16,0.0,0,78975,73562,73562,0,0,-73695,3627,0,10,25272,20160630,277477,324648,45878,0,-281458,9594,31009922,14
125331,17922518,201310,1,29,44,148,32083,326676,27429,-10111,14089,0,893416,0,117,2018673,0,0,18,783303,0,0,0,0,0,0,0,1495026,0,3074,0,316,0,0,1,1872,5,30829,99450,1,29250,58500,0,0,62,0.0,29250,12636,0,0,0,0,0,0,0,10,18954,20140731,67063,784637,564918,0,-592331,7722,18123828,14
278944,9566401,201310,1,377,61,286,83733,875028,6314,7838,9763,-8282,123213,0,117,1098,5,229565,15,545133,1156797,0,0,0,0,0,0,0,0,4793,4398,12186,0,0,0,27378,12,70968,0,0,0,117000,28431,5,89,0.0,0,3245082,13097,605452,1137325,0,-1367843,203585,0,10,4346007,20180331,104769,662904,479945,0,-1091801,73242,9767711,14
405595,23403514,201308,1,275,43,110,107625,153161,35524,6056,1065,-790902,0,0,117,0,0,0,12,488045,0,4,5584484,0,0,0,0,0,1474,751,0,0,0,0,3,27378,7,40239,3393,0,0,0,0,0,107,1.0,0,415647,0,0,0,0,0,0,0,10,6153172,20160731,4674297,5468927,75114,52533,-57096,52533,23604822,14
216086,46537300,201309,1,1331,26,4,16333,49732,16363,-26,0,-25094,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18392,1,18392,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,10,9477,20160630,0,0,0,0,0,0,46738609,9
449853,16226005,201310,1,560,33,78,2859,383646,16363,10254,196,-283269,0,134765,117,135498,0,0,1,5649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18392,1,18392,0,0,0,0,0,0,0,0.0,0,110565,0,0,0,0,0,0,0,10,15795,20160831,291549,56527,5649,0,-102045,33696,16427315,14
394782,21335063,201308,0,458,0,117,106149,0,68347,24221,8088,64829,97874,0,117,50964,0,0,41,590548,96289,2,4259889,0,0,0,0,0,0,1382,0,0,0,0,20,36556,7,77421,0,0,0,0,0,0,29,0.0,0,110565,97843,97843,0,0,-50252,3042,0,10,9477,99991231,459932,53812,353454,0,-419165,3978,21536371,14
205470,37094134,201309,1,542,31,54,11476,322454,6437,-4963,927,-145051,71316,0,117,0,0,0,14,495236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7235,0,0,0,0,0,0,0,0.0,0,15795,0,0,0,0,0,0,0,10,15795,20150430,-20563,-24058,217903,0,-1061369,0,37295443,7
354716,16487337,201309,1,563,68,117,108762,1572697,42969,5422,2013,-43117,6034,0,117,2022,0,0,11,327951,138833,2,7031361,0,0,0,0,0,0,0,0,0,0,0,0,34269,9,48296,0,0,0,163800,0,14,0,0.0,0,3150549,140659,140659,0,140659,-342969,7488,0,10,3197539,20150228,1171573,137074,24336,0,-8190,22581,16688646,14
493192,33677758,201308,1,50,62,70,156336,1481644,5692,6758,121998,168056,"1,1365742E+7",0,117,"1,3069228E+7",2,23917,13,1129832,0,0,0,0,0,0,0,0,0,820,0,643,2,0,12,1872,5,6449,0,5,38610,0,0,0,16,0.0,0,15795,0,0,0,0,0,0,0,10,22113,20150131,966923,1131299,641392,0,-724018,24102,33879066,12
225678,22747511,201310,1,17,42,121,91746,834553,44888,4005,0,-752321,0,0,117,0,0,0,0,0,36639,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,27378,5,50452,0,0,0,0,23400,0,11,0.0,0,4346007,438547,438547,0,0,-585,4329,0,10,6519697,20150331,413353,483623,0,0,-585,3861,22948821,14
182674,36253957,201309,0,941,0,60,146652,0,47358,11668,73199,2282487,461138,0,117,600295,12,90232,6,294549,1022976,0,0,0,0,0,0,0,1835,0,113,16572,0,0,0,31262,8,53645,0,6,128700,327600,4411811,0,160,1.0,93600,110565,117208,384116,832608,118328,-1010669,20241,0,10,12636,20151130,573157,386291,341173,674636,-110391,42705,36455266,14
415873,19597166,201309,1,1118,54,87,40793,865281,8266,-295,28096,48154,1009594,0,117,"1,0430895E+7",8,16518,0,0,0,0,0,0,0,0,0,1846611,0,0,0,556,0,324,0,0,5,8779,0,8,73710,0,0,0,84,0.0,44460,78975,0,0,0,0,-2925,0,0,10,12636,20140331,0,0,0,0,0,0,19798475,14
372666,20816764,201308,1,50,46,102,71646,915938,26672,31497,6942,-99354,292034,0,117,0,0,0,29,183835,197796,4,813059,0,0,0,0,0,12,1280,0,8374,1,0,7,18392,13,30215,81900,3,14040,0,0,1,158,0.0,11700,28431,598678,598678,1546,0,-3627,31356,0,10,36855,20140331,597357,698907,128036,0,-42354,32994,21018072,14
537376,21454796,201310,1,155,41,131,88233,721254,39078,3237,9643,-461755,19088,408,117,41,3,72891,9,73942,1190108,0,0,0,0,0,0,0,0,344,8642,0,2,1287,0,27378,8,43921,42120,4,4680,0,0,13,170,1.0,3510,3267638,1196053,1196053,1098438,0,-2833277,11934,0,19,4376214,20160930,543264,16651,45153,641334,-646078,59085,21656106,14
67094,29451794,201308,1,965,33,81,253272,2189112,295017,-139037,103357,-458,170692,0,117,94112,6,10707,9,5435887,8545114,0,0,0,0,0,0,0,0,46,0,5624,9,611,11,27378,7,334184,0,0,0,0,0,0,69,1.0,0,4191267,7722376,7722376,8545114,0,-1148234,350883,0,10,5239747,20160531,4517174,5285093,5199416,0,-6732688,25038,29653102,14
422497,21794909,201308,1,998,58,123,49011,634675,17587,-2186,29044,0,2810478,0,117,2068448,19,818384,4,56918,37829,0,0,0,0,0,0,1481337,276,58,0,0,21,0,3,0,5,19922,0,3,40950,0,0,0,17,0.0,0,110565,37936,37936,0,0,-60257,117,0,10,15795,20150228,52231,6111,46809,0,-144194,585,21996217,13
95759,29998545,201309,1,77,36,80,31764,649475,23924,-11348,18049,-94829,215229,0,117,0,0,0,9,528004,485106,0,0,0,0,0,0,0,0,1073,4851,126,0,0,0,18392,4,2689,0,0,0,0,0,0,53,1.0,0,12636,485106,485106,485106,0,-267767,1872,0,10,18954,20160831,52846,198186,52746,0,-127453,11115,30199854,14
258149,22328022,201308,1,260,44,121,9569,139971,5882,-529,368,-5128,315962,0,117,1236142,12,219758,8,100439,12561,0,0,0,0,0,0,1287234,481,363,0,0,14,0,3,0,6,6663,0,7,63180,0,0,0,0,0.0,60840,12636,1302,1302,9317,0,-13087,351,0,10,15795,20141031,88058,103027,3627,0,-101113,2574,22529330,14
347938,38781783,201310,1,308,39,44,56033,835893,10434,37062,1912,-251482,185303,0,117,0,4,465738,0,0,0,1,553233,0,0,0,0,1720602,0,0,0,192,0,0,0,6201,7,11729,17550,8,66105,0,23400,0,103,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38983093,14
8891,16055221,201310,1,1181,45,35,55638,655693,20981,2737,2251,-257637,10748,0,117,31517,0,0,7,104589,243616,0,0,0,0,0,0,0,0,214,1992,0,0,0,0,18392,5,23582,0,0,0,0,0,6,0,1.0,0,9477,151678,151678,199234,25389,-30649,56862,0,10,9477,20131231,932562,1091097,78636,0,-1755,14274,16256531,14
372382,20669763,201310,1,605,60,122,32675,406743,34035,-1481,319,-7815,285,0,117,0,0,0,5,138747,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,27378,6,38255,0,0,0,0,0,0,9,0.0,0,4376214,0,0,0,0,0,0,0,10,6565012,20160731,118751,138938,86097,0,-738,468,20871073,14
