numero_de_cliente;meses_activo
45766372;11
10501607;10
27010120;12
45729337;8
45732432;12
39223816;4
41512566;3
45685090;10
45732976;10
45636938;2
45642101;2
45663063;5
45688282;2
45693854;14
7647954;15
24330642;15
24685300;6
29430017;15
31809685;14
45225313;15
45466763;15
9484564;4
20828063;5
34069334;5
45883524;5
17246082;5
38488561;7
9759541;5
39048803;9
40050746;9
45793810;9
45825484;9
45832319;9
45834248;5
45841935;9
45818395;7
10965108;12
22557351;12
35933486;3
36149216;2
37473184;12
38103811;12
45817801;12
45828965;12
45868670;8
45688062;12
8272961;8
45823455;2
45863584;2
16048765;8
26351728;7
45183737;15
45660759;6
45778358;12
45808790;3
45853659;15
45853836;11
45860868;15
45891435;15
45896228;7
5652310;14
5759344;16
5797702;16
5857073;7
5960008;16
5973155;5
6032210;15
6119546;9
6330213;16
6362602;16
6667536;4
6817628;6
6828464;10
7046795;16
7170094;11
7217227;13
7263269;16
7286589;7
7349144;5
7573649;16
7614079;16
7663201;16
7697171;4
8351144;16
8672993;7
8791437;16
8795624;16
8907527;16
8994953;16
9012824;16
9043052;16
9073561;7
9099790;8
9193020;4
9528934;9
9874604;5
9987237;16
10160552;5
10240156;16
10316618;11
10324081;16
10483034;2
10554097;4
10753206;2
11198469;13
15354913;2
15443512;4
15543769;4
15592975;16
15715826;2
15758240;16
15819934;9
15979153;7
16022825;16
16090763;16
16124517;13
16158125;12
16232766;16
16236050;3
16292623;11
16426384;9
16464862;16
16483852;16
16576121;16
16663160;3
16671801;6
16710387;6
16825080;4
16868417;16
17104680;12
17116840;5
17419698;16
17458882;3
17502655;2
17508656;16
17512700;4
17520603;16
17644161;16
17689068;7
17704998;16
17714375;16
17774684;16
17841876;4
17852114;16
18005486;15
18202948;9
18272630;16
18497254;6
18560677;9
18685164;16
18750243;5
18819427;16
18826358;16
18937805;16
19075946;16
19140604;16
19174100;16
19357514;16
19378322;15
19558468;3
19850058;16
19892252;16
19907128;3
19922113;8
19972457;16
20141100;11
20293434;7
20336284;16
20409670;16
20437598;2
20453980;15
20455102;1
20508615;8
20513207;16
20518498;16
20661833;16
20698953;16
20706019;16
20747109;16
20815016;8
20896047;16
21183396;16
21184149;4
21211266;16
21272165;16
21418818;6
21433946;6
21463644;4
22050081;9
22065301;8
22066918;16
22086695;3
22187570;16
22238879;13
22440739;4
22453455;8
22459398;16
22581107;16
22763290;4
22972598;16
23132712;4
23141688;16
23156306;16
23302450;15
23302547;6
23321784;4
23323640;16
23325882;16
23376323;16
23382798;16
23398999;4
23411374;16
23456930;16
23566433;11
23765893;4
23807373;12
23836451;4
23895108;3
23938105;16
24156756;16
24216030;4
24396866;12
24573497;10
24597260;16
24650410;16
24767909;13
24890124;16
24911777;15
24927649;16
24973575;16
25087083;8
25134379;2
25157167;16
25159158;16
25181656;16
25212493;16
25332543;8
25444577;4
25472868;16
25570709;16
25846770;8
25847291;14
25899611;16
25913843;6
25930587;4
26078951;7
26267196;16
26307141;1
26321635;12
26449044;16
26458182;4
26478044;5
26740236;16
27084247;16
27155747;7
27201900;4
27227991;6
28176402;16
28474568;4
28511815;16
28543813;5
28617455;16
29125288;16
29402761;15
29424939;15
29596653;16
29605691;16
29744669;9
29859617;2
29872579;16
29925934;10
30126895;16
30225025;16
30344882;15
30457607;6
30610663;16
30614835;11
30907841;16
30909994;9
31081083;16
31411791;16
31818275;4
31828139;3
31845439;16
31958932;8
31988226;16
32256025;3
32280109;5
32530647;4
32976871;12
33002892;16
33152478;16
33511736;16
33715896;16
33826217;16
33828560;16
33856302;4
33921392;7
33931437;4
34158404;4
34327798;16
34537172;16
34552087;7
34602343;6
34912769;3
35121440;16
35198744;7
35338328;16
35495540;4
35728449;4
35804510;16
35810469;7
35892669;16
36163220;15
36167909;16
36188330;16
36222374;3
36331071;12
36361410;16
36513613;16
36620145;12
36677428;13
36834829;5
37034119;16
37047683;11
37355855;16
37519446;16
38077322;5
38194401;12
38428858;16
38594139;16
39005559;16
39237701;16
39326350;4
39332509;2
39391246;4
39453014;15
39579411;16
39651540;16
39949539;16
40102842;16
40315770;4
40867318;4
41477291;16
41519153;16
41626414;16
41636606;11
41785328;16
42113246;16
42162294;16
42313297;14
42477756;4
42545794;15
42559173;4
42697410;4
42724214;16
42799596;15
42836492;3
42919272;3
42946477;9
43057910;16
43424631;15
43634919;16
43736403;16
43879236;16
43949196;7
43974750;13
44045945;16
44462138;16
44636090;16
44696028;4
44753994;16
44997073;10
44997216;16
45053356;16
45147794;16
45157399;16
45158109;16
45158398;8
45160397;15
45163380;16
45174865;15
45177720;16
45180954;15
45182370;6
45185103;15
45186608;3
45218641;16
45248352;16
45325184;8
45336256;12
45365291;13
45382182;11
45614528;2
45628691;13
45633287;7
45646261;2
45647959;16
45650112;7
45657244;4
45658297;16
45660315;1
45663252;16
45663534;16
45667609;16
45668747;10
45674408;6
45675323;16
45679653;16
45686159;11
45688999;16
45695494;16
45698423;5
45700735;16
45702448;15
45716344;6
45744773;6
45745584;12
45757412;16
45759912;14
45778119;4
45778223;16
45779813;4
45780612;5
45781750;7
45781947;10
45782256;16
45782603;16
45783062;7
45783680;16
45784023;16
45784583;16
45784621;16
45784625;4
45784664;11
45784764;4
45785169;10
45786628;4
45786728;16
45787601;16
45788735;16
45789951;4
45789989;8
45790699;2
45791599;14
45791911;4
45793215;16
45794697;16
45794840;12
45794848;1
45794979;14
45795099;4
45795357;16
45796361;12
45796986;16
45797179;16
45797495;1
45797553;6
45798626;12
45799019;2
45799575;8
45800501;4
45801493;12
45802234;16
45802354;15
45803546;15
45804931;14
45805560;15
45808644;16
45808709;4
45809944;4
45811125;12
45811858;7
45811893;11
45812557;6
45812595;14
45814193;16
45814324;5
45814687;14
45814888;13
45815158;12
45815293;8
45815335;7
45815509;12
45815883;12
45816312;3
45819202;8
45821112;2
45821861;4
45822158;16
45822505;5
45825172;13
45825245;16
45825272;16
45827090;10
45827109;16
45828398;4
45828722;16
45829019;16
45829069;9
45829930;4
45831686;11
45833747;16
45834538;12
45834700;16
45836895;4
45837980;10
45838748;2
45838879;16
45838975;16
45838983;7
45839327;16
45839423;16
45839848;16
45840345;16
45840361;16
45840878;16
45841530;5
45841901;7
45842503;3
45842603;8
45843514;1
45844598;4
45845196;4
45845578;16
45846215;2
45848310;16
45848689;16
45850414;6
45850892;12
45851691;16
45851776;1
45853636;2
45853744;16
45854157;16
45854902;3
45856187;15
45859123;6
45860752;15
45861624;12
45862430;16
45865039;4
45865996;11
45866066;4
45866741;16
45867420;16
45867914;4
45867984;3
45868134;16
45868562;16
45868917;7
45869164;6
45869188;16
45869330;15
45869797;12
45872140;4
45872144;4
45872147;4
45872190;16
45872333;16
45873158;12
45874000;11
45874312;4
45874609;14
45874802;14
45875509;12
45876099;15
45876454;12
45877029;14
45878083;4
45879070;16
45879622;4
45879916;16
45880711;4
45880730;16
45880803;15
45880950;16
45881208;6
45881235;11
45882455;12
45883358;9
45883493;4
45883713;16
45883863;5
45883933;12
45885608;10
45885750;9
45885847;16
45886306;16
45886796;15
45887159;9
45887201;11
45887499;10
45888301;16
45889007;4
45889467;13
45889795;4
45890424;14
45891489;4
45891523;12
45891809;16
45892928;14
45895726;16
45897084;15
45897266;4
45898180;6
45898678;8
45900071;4
45900619;16
45901403;4
45901487;14
45901642;16
5895516;1
7433223;1
8201384;1
8213259;1
8406594;1
8635645;1
8892134;1
10432002;1
15472609;1
16597395;1
17145821;1
17537486;1
17614948;1
18341077;1
19695358;1
21151050;1
21324740;1
21499417;1
21628146;1
22267841;1
22612310;1
23680659;1
23885630;1
24844198;1
27118762;1
29369173;1
30063164;1
30263133;1
33747031;1
34419654;1
35109682;1
35640920;1
35784880;1
37696343;1
38125336;1
38184935;1
38972734;1
39265339;1
39714827;1
40190989;1
41126338;1
41868701;1
42493577;1
42504576;1
44764298;1
45236721;1
45844421;1
23925532;1
43264644;1
43350820;1
21787538;2
31390957;2
43277012;2
23047216;1
42125622;1
43473845;1
18571139;2
43370088;2
43478560;2
43378844;3
43411352;3
43428470;3
43464664;3
45956181;1
46001366;12
19345736;13
45933081;2
45955614;2
45999950;2
9737776;14
24058166;14
27412771;14
46008027;14
46008135;14
5617888;15
5622268;15
5639491;10
5842065;15
5861819;15
6082446;15
6504536;14
6663619;15
6707141;4
6823181;15
6995721;8
7773039;14
7773742;3
7776836;15
7834976;15
7842289;15
7863131;15
7901806;15
7931436;5
7940381;14
8060133;15
8460308;14
8740795;9
8891184;9
8912567;8
9046694;15
9049982;15
9057067;7
9210652;15
9380980;14
9388675;15
9609094;15
10015072;15
10035957;3
10184494;15
10397472;15
10608787;15
10671669;15
10755622;4
10844664;15
10870886;4
10967844;4
11114598;15
11126479;15
11192418;10
11242894;15
11297229;6
15499838;15
15523914;15
15527835;15
15722475;15
15961116;15
16015886;7
16060423;15
16087320;15
16091754;15
16235726;15
16423335;15
16636221;15
16952169;8
17001186;15
17088769;8
17187946;15
17235396;15
17353254;15
17365413;12
17457721;15
17618853;15
17652897;8
17735592;1
17803279;15
17883754;7
18103416;15
18308819;14
18500658;15
18745890;15
18834620;4
18857438;15
19213643;15
19283583;15
19414577;15
19566741;15
19768884;15
19966117;15
19996175;15
20203276;15
20247592;11
20450090;15
20452992;15
20472804;13
20597260;15
20813804;15
20983859;15
21200055;15
21236662;4
21244156;15
21246792;15
21375825;15
21391709;15
21425541;15
21561366;15
21799161;15
22024766;6
22335003;13
22440593;14
22544230;15
22586374;15
22598414;15
22837178;15
23069938;15
23132531;3
23141962;2
23153543;15
23311145;15
23370430;14
23379850;14
23416904;15
23419602;15
23497731;13
23646762;15
23841078;9
23900097;7
24139213;15
24213383;4
24291149;6
24376174;4
24534440;12
24646096;15
24758752;15
24954978;1
24967632;5
24980853;15
24998130;15
25009838;11
25030537;15
25178461;12
25214604;15
25278355;4
25329236;15
25451952;15
25463432;15
25509015;7
25589487;13
25698202;14
25931695;15
26110868;4
26374735;15
26683664;15
26743926;15
26812500;6
26876320;4
26899196;13
26936339;15
26958972;15
26990620;5
27184014;15
27264497;15
27527874;15
27660951;15
27884538;15
28081548;15
28136978;4
28184622;1
28667525;15
28730975;15
29091189;15
29217676;11
29219200;15
29270440;15
29391111;15
29397698;4
29398906;7
29400666;15
29487906;10
29607717;15
29652076;12
29755632;15
29907187;7
29942929;15
29953699;14
30117367;15
30166739;15
30676845;15
30698880;15
30832559;15
30929258;15
31297750;13
31329301;15
31361929;15
31439009;15
31476677;2
31630682;15
31717038;3
31971393;15
32297714;15
32320713;10
32492601;15
32630842;15
32646135;4
32880793;5
33059978;2
33868662;15
34085318;1
34116692;11
34300766;14
34392958;15
34565702;15
34584090;10
34783936;15
35098456;10
35345127;4
35512878;11
35699495;2
35746591;4
35923985;15
35938310;15
35979555;4
36044598;7
36093183;5
36165076;13
36170857;10
36178791;15
36189758;15
36212148;15
36220090;15
36642461;3
36901674;15
36949036;6
37169095;13
37248965;5
37355138;15
37413528;10
37421404;15
37483619;15
37489219;15
37491731;10
37964721;10
38480013;15
38536543;4
38927522;15
38931670;15
39497052;15
39501378;15
39593755;15
39660454;15
39677874;6
39719041;15
39940390;15
39969205;15
40048407;3
40066212;15
40071059;15
40295252;4
40515771;15
40889299;9
40907127;4
40932759;1
41036971;7
41184230;4
41231422;6
41272208;2
41662492;15
41736758;3
41841742;15
41861431;15
41935582;3
42203280;5
42293477;11
43195900;5
43389873;15
43482790;4
43500977;15
43501066;4
43613687;15
44039852;12
44062110;4
44062882;15
44122720;10
44468737;15
44561153;3
44629538;15
44642222;15
44710639;15
44721799;15
45022372;6
45056220;15
45152996;15
45164565;15
45174896;15
45179075;15
45185191;15
45263027;4
45280169;7
45305334;15
45328935;15
45380422;15
45468033;15
45474759;7
45506681;8
45516660;5
45542982;2
45580712;14
45647731;4
45704455;15
45710587;8
45785250;5
45793929;15
45796279;15
45797341;12
45798846;15
45805325;15
45805406;1
45813599;5
45813703;15
45815980;15
45827927;13
45832751;15
45836305;1
45837355;10
45844293;13
45846219;4
45854253;15
45856098;15
45861199;14
45861686;15
45863654;5
45864128;15
45870029;15
45875231;15
45888112;12
45890883;15
45891176;10
45892353;14
45892654;5
45895884;15
45899037;7
45901758;15
45902109;5
45902792;4
45903675;15
45905312;6
45906273;2
45906462;15
45906913;12
45907697;4
45908326;2
45908468;4
45910946;4
45912354;14
45913840;15
45913883;15
45914021;15
45914928;15
45915121;4
45915264;4
45915966;6
45916368;15
45916754;15
45917221;4
45917904;3
45917931;4
45919883;11
45920346;12
45921280;15
45921369;15
45921566;15
45922345;4
45922851;14
45923858;15
45925297;5
45925560;15
45925957;14
45926741;12
45926968;15
45929388;4
45929847;15
45929851;4
45931842;15
45932726;4
45933814;4
45935427;15
45936211;15
45936774;4
45938098;4
45941744;7
45942856;15
45945712;14
45945986;6
45946422;8
45946954;15
45947054;4
45947244;15
45947834;15
45948521;6
45948633;13
45948652;3
45949655;15
45950682;4
45951218;2
45951284;15
45952121;13
45952986;1
45953055;5
45953561;7
45954757;4
45956494;4
45957049;5
45957289;15
45958770;15
45959268;13
45960345;14
45961039;4
45961298;15
45961942;5
45962035;4
45962294;3
45962741;5
45963386;4
45965053;1
45965091;5
45965497;15
45965832;4
45966369;10
45967156;13
45970922;2
45971382;15
45972535;15
45973141;14
45973195;1
45973465;15
45974203;8
45975904;15
45976213;15
45976607;15
45977093;3
45977228;4
45977691;5
45978339;10
45981064;3
45981882;15
45981917;15
45982152;6
45983568;15
45984344;10
45984823;4
45985166;13
45985255;4
45985378;15
45985571;13
45985621;9
45986293;15
45986393;14
45986420;10
45986470;10
45987713;5
45988195;12
45988419;4
45988431;15
45989048;13
45989824;15
45991541;12
45991919;4
45992101;4
45992784;5
45993285;7
45993459;15
45993922;1
45994593;15
45994690;15
45995072;4
45995284;15
45995597;14
45995805;6
45996604;15
45996874;15
45997009;4
45997712;12
45999521;15
45999668;4
45999958;14
46001482;4
46001493;15
46002852;4
46002995;7
46005677;15
46005812;15
46006560;15
46006595;15
46007371;7
46007834;15
46008196;6
46008814;15
46009833;2
46010010;11
6040468;1
7315227;1
7949068;1
8665263;1
10220128;1
10827322;1
10976106;1
10991268;1
11260526;1
15518264;1
16175066;1
16941248;1
17262590;1
18257695;1
18724017;1
18912764;1
20754117;1
21659697;1
22342647;1
22825578;1
24622749;1
25465543;1
25544772;1
25844331;1
25994388;1
26167696;1
26197588;1
26517456;1
26634376;1
27081079;1
27502320;1
27950681;1
28746002;1
29643270;1
30207926;1
30446304;1
30693905;1
32466549;1
36085982;1
37045063;1
37517532;1
37573376;1
37651478;1
38412457;1
38469308;1
39078501;1
39278324;1
39574607;1
39742060;1
40123303;1
40904244;1
41875412;1
43213493;1
43668222;1
46005333;1
32632814;2
45750948;2
45973107;2
41787022;3
10445775;4
32201841;3
26543227;5
36045922;5
45909695;5
45888544;6
45931765;6
23499224;7
22376132;8
27713403;8
29586565;2
45982376;10
16317429;11
18927533;11
19285212;11
19999683;11
22410790;11
28658071;11
45973396;11
5810722;11
16169907;11
19006253;11
19308941;11
30659564;11
32509793;11
38493840;11
46045818;11
46077381;11
46087426;10
25241177;12
39945997;2
17892688;13
24082296;13
29190080;13
29387815;13
33810631;13
43636756;13
45936921;3
46037320;13
46068582;3
46073657;13
46120470;13
5705206;14
5970242;14
6144719;12
6192605;14
6265475;9
6273308;13
6354355;14
6388542;14
6403098;4
6499419;4
6632959;14
6658255;10
6664626;14
6795767;7
6828908;14
6999213;14
7480616;14
7644897;14
7651542;14
7798424;3
7816962;14
7912604;5
7993813;4
8033769;14
8158526;14
8207702;14
8266899;7
8307677;5
8381642;14
8598460;14
8717753;14
8814830;14
8884667;14
9051939;14
9102727;14
9129933;14
9205944;14
9449157;14
9475653;14
9529289;14
9533449;14
9654784;10
9736626;14
9799122;14
9830338;14
9830662;14
9986674;14
10005340;14
10211981;14
10383062;14
10407104;14
10478739;14
10541030;14
10607699;5
10772524;14
10838880;14
10867660;14
11038328;14
11049392;14
11062644;14
11120571;14
11242905;3
14707558;14
15246637;13
15247251;14
15379977;14
15380101;14
15394140;14
15460214;4
15546099;14
15578735;2
15653542;4
15815755;14
16070163;14
16074532;7
16087818;14
16228413;14
16242120;14
16339085;11
16466618;14
16474390;3
16516881;14
16529940;4
16760986;14
16784036;14
16907146;13
17001193;14
17192727;4
17243558;13
17330088;1
17382725;10
17603645;14
17606944;14
17609572;14
17615959;14
17621022;14
17627856;13
17634224;13
17636203;14
17753513;14
17826576;14
18041078;14
18050166;14
18102023;14
18166110;14
18469921;7
18530276;14
18631189;14
18703568;4
18705177;13
18778637;14
18908396;14
19052167;14
19165266;14
19176643;4
19197860;14
19237264;14
19264308;14
19395865;14
19416020;14
19696608;4
19787835;14
19996063;14
20118490;14
20326146;14
20383719;14
20445015;14
20643757;14
20688483;4
20840223;14
20851206;4
21379696;14
21406037;9
21536919;14
21565344;14
21648622;14
21846314;12
21871541;14
21934253;14
22042166;14
22059405;14
22073011;14
22079163;14
22081609;14
22101614;4
22135674;14
22249329;14
22256615;13
22268219;14
22281764;14
22448241;14
22451440;14
22453968;14
22463835;13
22521161;14
22528686;14
22568314;14
22571594;7
22571899;13
22571953;14
22655122;12
23029183;14
23039336;9
23059345;4
23308474;13
23325986;3
23494945;1
23594507;14
23817542;10
23827378;14
24207683;14
24248314;6
24275694;13
24576333;10
24591441;13
24672827;7
24714273;2
24809432;14
24832594;14
24905529;14
25102782;12
25137536;14
25198983;14
25286644;1
25301470;14
25385141;14
25496851;14
25498885;14
25524273;14
25530899;14
25565630;14
25763041;14
25878618;12
25944742;4
26021004;14
26124190;14
26359133;14
26392977;5
26448234;14
26467513;14
26529855;4
26758343;14
26831872;14
27055301;14
27150591;14
27183670;14
27192994;14
27205898;14
27267839;14
27292386;11
27334700;14
27364310;4
27392311;4
27695648;1
28279387;5
28294391;2
28296961;7
28332680;1
28463959;3
28491408;6
28696680;4
28851086;14
28955519;14
28983766;14
29095203;9
29306425;14
29406223;14
29409788;7
29524547;2
29612012;14
29612386;14
29864807;2
29904782;14
29923614;14
30111158;6
30318776;1
30343670;11
30347877;13
30420545;14
30487615;14
30527694;14
30528042;14
30534239;4
30912082;6
30992878;14
31269572;14
31270633;14
31273350;14
31325570;4
31425962;14
31449922;14
31464914;14
31732335;14
31917645;5
31949678;10
31968599;14
32093627;14
32197210;14
32236923;14
32436182;14
32458811;14
32614896;14
32627558;14
32764691;14
32791696;14
32791816;13
32977476;4
32996887;4
33138262;4
33322529;4
33503153;14
33580175;14
33651069;14
33813726;4
33880942;4
33965191;4
33984598;14
34143141;10
34187748;3
34220595;2
34423436;14
34532163;3
34746454;14
34866785;14
34874271;14
34938377;14
35022905;6
35029978;14
35226150;14
35640256;14
35878754;14
35881725;14
35883022;14
35925486;14
35989438;14
36037181;4
36182750;14
36636136;14
36726688;14
36730775;14
36774358;14
36945073;14
37026660;14
37031719;14
37076529;14
37504952;14
37523251;11
37532933;14
37676569;4
37931626;14
37954236;14
38013306;14
38013664;14
38027669;14
38340738;14
38381223;14
38425902;14
38915158;14
39105499;11
39163164;14
39531097;14
39567730;14
39904513;14
39960318;4
39961240;14
39964184;14
40039886;14
40052941;14
40062797;14
40310892;14
40531731;14
40756723;14
41046591;14
41115004;8
41148068;6
41194545;13
41263479;14
41516668;14
41642703;14
41756080;14
41892488;14
41981098;14
42098192;14
42252425;14
42324893;14
42459398;3
42546994;14
42665955;14
42681893;14
42809522;4
42884255;6
42917824;14
42990871;1
43047302;4
43183096;4
43308158;13
43750415;4
43928412;4
43935331;14
44400803;6
44430734;14
44569040;14
44597744;14
45206416;14
45211228;14
45236288;14
45301008;6
45432175;9
45513172;12
45534199;10
45577393;7
45737059;14
45779300;14
45783259;13
45791656;14
45793053;13
45797275;6
45802218;14
45804449;14
45806297;13
45810045;14
45832346;14
45842784;12
45873054;14
45874119;3
45905566;14
45910000;9
45910039;14
45910251;14
45911023;11
45916067;14
45919957;9
45921840;14
45925012;9
45925614;14
45927663;14
45927829;14
45930623;14
45932637;6
45933343;14
45934378;14
45934964;14
45935817;2
45936311;14
45939676;4
45941799;4
45944685;14
45947525;12
45952584;2
45954448;14
45955988;14
45958346;8
45967029;14
45971713;3
45984494;7
45988307;5
45998541;10
45999830;14
46000247;13
46000706;4
46001119;14
46004121;14
46006441;1
46006460;2
46012106;14
46012553;14
46013449;14
46014047;14
46014498;2
46014537;14
46014595;4
46014911;14
46015363;14
46016019;14
46018824;5
46018948;4
46019249;14
46020642;4
46021610;4
46021738;4
46022857;14
46024516;4
46025145;3
46025381;14
46028892;3
46029186;14
46029799;6
46031790;14
46032049;5
46032068;14
46032273;5
46032296;4
46032311;1
46032717;14
46033180;13
46033604;8
46035495;4
46035734;14
46035904;4
46035958;8
46036938;13
46037621;3
46038829;14
46041473;4
46041488;1
46042210;4
46042426;14
46043638;14
46043904;14
46044737;14
46044923;14
46045289;1
46046130;14
46046300;14
46047435;14
46049318;4
46049503;4
46049723;14
46049827;10
46052394;14
46054605;3
46055751;3
46056866;6
46057441;6
46058171;14
46058962;14
46059645;14
46059930;6
46060065;5
46060717;4
46061995;4
46062462;14
46062782;14
46063156;12
46063820;14
46064048;4
46064152;8
46065159;5
46065665;5
46065738;10
46066822;14
46066946;14
46068038;14
46068571;4
46068578;14
46069759;2
46070427;4
46072194;14
46073155;5
46073417;14
46073475;14
46074973;4
46075169;5
46075660;12
46076671;7
46077462;14
46077956;14
46078110;14
46079013;14
46081660;5
46082112;14
46083200;14
46083532;14
46084396;14
46086376;5
46086445;14
46086770;13
46087059;14
46087538;14
46087692;12
46087727;10
46088367;2
46088614;14
46089019;1
46089166;14
46090177;2
46090740;14
46091285;5
46091342;5
46092574;4
46092828;5
46095163;14
46095483;9
46095653;4
46097644;12
46097772;5
46097795;10
46098115;14
46098227;14
46098763;8
46099740;4
46100477;4
46100909;14
46101820;14
46102576;14
46102854;10
46104039;2
46104625;4
46105069;4
46105999;4
46106068;7
46107002;14
46107334;4
46108843;5
46111564;7
46112077;14
46112251;14
46112648;4
46113401;8
46114053;8
46114466;1
46114682;14
46114921;4
46115095;14
46119494;9
46121539;5
46121655;14
46121952;9
46126236;14
46126286;10
46128061;1
46128362;14
46129022;4
46129261;5
46129531;14
46130477;14
46130693;6
46132051;5
46132595;4
46133220;13
46133714;14
46134945;14
5796610;1
5888693;1
5963161;1
5990301;1
6271217;1
7366312;1
7782366;1
7842138;1
8455461;1
8692921;1
10299434;1
10862339;1
11279145;1
16033487;1
17263034;1
18307692;1
18453212;1
19313506;1
19466010;1
20353495;1
21558190;1
24394821;1
24555676;1
24561078;1
25179151;1
25533496;1
25676719;1
25759202;2
26848698;1
26895214;1
27536707;1
31329278;1
32089189;1
32870864;1
33854083;1
34787818;1
35621270;1
37491349;1
37702683;1
37828969;1
37872888;1
37881069;1
38376434;1
38751374;1
39036238;2
39829895;1
40841428;1
43970116;1
44009358;1
45638643;1
46084134;1
46117406;1
15994496;2
18135867;3
25893190;2
21458767;3
33302385;3
6027818;4
17998664;4
20034074;4
45925857;4
46129878;5
31597309;6
45969711;6
46073688;6
9360497;7
42993623;7
18168278;8
46021425;8
