age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;deposit
32;management;divorced;tertiary;no;294;yes;no;cellular;17;apr;1095;1;274;5;success;yes
34;blue-collar;married;primary;no;329;yes;no;cellular;17;apr;952;1;343;1;failure;yes
37;blue-collar;married;primary;no;3154;yes;no;cellular;17;apr;404;1;305;3;failure;yes
29;technician;married;secondary;no;1180;yes;no;cellular;17;apr;367;3;323;3;failure;yes
34;management;married;secondary;yes;879;yes;no;cellular;17;apr;712;1;344;1;failure;yes
53;technician;married;secondary;no;5303;yes;no;telephone;17;apr;320;3;180;1;success;yes
50;unknown;married;primary;no;341;yes;yes;cellular;20;apr;670;4;340;2;success;yes
28;technician;single;tertiary;no;387;yes;no;cellular;20;apr;205;1;82;1;failure;yes
29;self-employed;married;secondary;no;123;no;yes;cellular;21;apr;158;2;181;1;success;yes
33;admin.;married;tertiary;no;882;no;no;cellular;22;apr;104;1;183;4;failure;yes
53;management;married;tertiary;no;3754;no;no;cellular;22;apr;307;1;278;2;failure;yes
37;management;married;tertiary;no;0;yes;no;cellular;23;apr;242;5;153;7;failure;yes
32;management;single;tertiary;no;2974;yes;no;cellular;24;apr;227;1;4;1;failure;yes
31;technician;single;tertiary;no;1081;no;no;cellular;24;apr;202;5;261;2;failure;yes
29;admin.;married;secondary;no;7707;yes;no;cellular;29;apr;961;2;334;2;failure;yes
38;services;married;secondary;no;1970;yes;no;cellular;30;apr;701;1;176;1;success;yes
47;technician;married;secondary;no;1167;yes;no;cellular;30;apr;968;1;87;5;failure;yes
52;management;married;tertiary;no;193;no;no;cellular;30;apr;381;1;269;1;failure;yes
36;unemployed;single;tertiary;no;1291;no;no;cellular;30;apr;195;1;86;1;success;yes
47;blue-collar;married;secondary;no;1230;yes;no;cellular;30;apr;412;1;169;1;success;yes
36;admin.;married;secondary;no;96;no;no;cellular;30;apr;208;1;87;1;success;yes
23;student;single;secondary;no;0;no;no;cellular;30;apr;297;1;83;6;success;yes
29;management;single;tertiary;no;697;no;no;cellular;30;apr;365;1;85;1;success;yes
58;management;divorced;tertiary;no;5701;no;no;cellular;30;apr;354;1;87;1;success;yes
48;blue-collar;married;secondary;no;292;no;no;cellular;30;apr;271;1;79;1;success;yes
42;technician;married;tertiary;no;757;no;no;cellular;30;apr;354;1;79;1;success;yes
42;blue-collar;married;primary;no;201;yes;no;cellular;30;apr;841;1;85;2;failure;yes
47;unknown;married;unknown;no;677;no;no;cellular;30;apr;900;2;86;2;failure;yes
30;management;single;tertiary;no;398;no;no;cellular;30;apr;554;1;6;2;success;yes
35;management;single;tertiary;no;1750;yes;no;cellular;30;apr;687;1;9;3;success;yes
35;management;married;tertiary;no;193;yes;no;cellular;30;apr;565;1;13;1;failure;yes
35;admin.;single;tertiary;no;994;no;no;cellular;30;apr;400;1;87;2;failure;yes
33;blue-collar;single;unknown;no;129;yes;yes;cellular;30;apr;482;1;161;1;failure;yes
42;management;married;tertiary;no;6060;yes;no;cellular;30;apr;316;1;350;2;failure;yes
33;management;married;tertiary;no;55;no;no;cellular;30;apr;526;2;87;3;failure;yes
53;management;married;tertiary;no;1624;no;no;cellular;30;apr;284;3;84;3;success;yes
26;admin.;single;secondary;no;255;no;no;cellular;30;apr;457;1;80;1;success;yes
30;admin.;single;secondary;no;270;no;no;cellular;30;apr;437;1;80;1;success;yes
38;management;married;tertiary;no;613;no;no;cellular;30;apr;242;1;86;1;success;yes
29;technician;single;secondary;no;674;no;no;cellular;30;apr;483;1;13;5;success;yes
47;management;single;tertiary;no;86;no;no;cellular;30;apr;387;3;87;1;success;yes
34;management;single;tertiary;no;1228;no;no;cellular;30;apr;580;2;84;8;success;yes
54;technician;divorced;secondary;no;2156;yes;no;cellular;30;apr;258;1;86;5;success;yes
46;management;married;tertiary;no;699;no;no;cellular;30;apr;970;1;87;1;failure;yes
47;blue-collar;married;primary;no;2749;yes;no;cellular;30;apr;774;2;164;1;failure;yes
33;blue-collar;single;tertiary;no;700;no;no;cellular;30;apr;169;1;80;2;success;yes
54;technician;married;secondary;no;0;no;no;telephone;30;apr;766;3;84;3;success;yes
31;management;single;tertiary;no;354;no;no;cellular;30;apr;502;1;9;2;success;yes
30;admin.;single;tertiary;no;305;no;no;cellular;30;apr;633;1;85;2;success;yes
28;unemployed;single;primary;no;236;no;no;cellular;4;may;193;1;87;3;failure;yes
33;management;single;tertiary;no;5437;no;no;cellular;4;may;267;1;91;1;failure;yes
41;blue-collar;married;secondary;no;5060;no;no;cellular;4;may;963;1;83;3;success;yes
38;technician;divorced;secondary;no;902;yes;no;cellular;4;may;301;3;90;1;success;yes
47;technician;married;secondary;no;335;no;no;cellular;4;may;417;1;76;1;success;yes
49;management;married;tertiary;no;1;no;no;telephone;4;may;1076;3;175;1;success;yes
33;technician;single;tertiary;no;1636;yes;no;cellular;4;may;592;1;66;1;success;yes
60;technician;married;secondary;no;316;no;no;cellular;4;may;545;2;263;4;failure;yes
32;student;single;tertiary;no;1138;no;no;cellular;4;may;214;3;83;3;success;yes
36;self-employed;married;secondary;no;188;yes;yes;cellular;4;may;1046;3;333;2;success;yes
35;management;married;tertiary;no;520;yes;no;cellular;4;may;458;3;17;5;failure;yes
30;self-employed;married;tertiary;no;2666;no;no;cellular;4;may;781;3;89;1;success;yes
39;management;single;tertiary;no;1515;yes;no;cellular;4;may;815;6;167;6;failure;yes
39;management;single;tertiary;no;2454;yes;no;cellular;4;may;716;3;263;2;failure;yes
35;entrepreneur;married;secondary;no;2971;no;no;cellular;4;may;429;4;164;2;failure;yes
59;retired;divorced;secondary;no;514;no;no;cellular;4;may;673;6;90;1;success;yes
35;student;single;secondary;no;188;yes;no;cellular;5;may;863;1;78;8;success;yes
31;blue-collar;single;secondary;no;196;yes;no;cellular;5;may;568;1;341;7;failure;yes
30;technician;single;secondary;no;-522;yes;yes;cellular;5;may;670;2;286;6;failure;yes
27;admin.;married;secondary;no;710;yes;yes;cellular;6;may;653;1;334;2;success;yes
37;technician;divorced;secondary;no;141;yes;no;cellular;6;may;848;1;364;3;failure;yes
30;management;divorced;tertiary;no;415;yes;yes;cellular;6;may;984;1;343;4;failure;yes
34;entrepreneur;married;tertiary;no;0;yes;no;cellular;6;may;611;1;183;1;failure;yes
36;management;single;tertiary;no;7506;yes;no;cellular;6;may;839;2;188;1;success;yes
32;admin.;married;secondary;no;752;yes;no;cellular;6;may;519;2;166;5;failure;yes
49;management;married;secondary;no;99;yes;no;cellular;6;may;687;2;343;1;failure;yes
33;management;married;secondary;no;3935;yes;no;cellular;6;may;765;1;342;2;failure;yes
31;management;single;tertiary;no;59;yes;yes;cellular;6;may;1347;2;363;1;failure;yes
40;management;married;tertiary;no;1598;yes;yes;cellular;6;may;1074;4;344;3;failure;yes
42;blue-collar;married;primary;no;1461;yes;no;cellular;7;may;757;2;170;3;failure;yes
36;management;single;tertiary;no;4;yes;no;cellular;7;may;855;2;342;1;failure;yes
30;services;single;secondary;no;-271;yes;no;cellular;7;may;609;1;337;1;success;yes
29;technician;single;tertiary;no;0;yes;no;cellular;7;may;347;2;337;6;failure;yes
43;management;married;tertiary;no;1429;yes;no;cellular;7;may;1030;1;169;3;success;yes
31;admin.;single;secondary;no;0;yes;no;cellular;7;may;895;2;295;2;failure;yes
42;unemployed;married;secondary;no;356;yes;no;cellular;7;may;787;3;356;2;failure;yes
45;services;divorced;secondary;no;608;yes;yes;cellular;7;may;1135;3;323;30;failure;yes
45;blue-collar;divorced;secondary;no;-184;yes;no;cellular;7;may;878;3;170;5;failure;yes
39;admin.;single;secondary;no;2345;yes;no;cellular;8;may;491;2;344;2;failure;yes
57;admin.;married;secondary;no;6005;yes;no;cellular;8;may;704;1;323;6;failure;yes
42;management;married;tertiary;no;4;yes;no;cellular;8;may;579;2;295;1;success;yes
57;management;married;tertiary;no;830;yes;yes;cellular;8;may;662;1;367;1;success;yes
47;retired;married;primary;no;1374;no;yes;telephone;8;may;479;2;359;3;failure;yes
42;management;married;tertiary;no;-556;yes;yes;cellular;8;may;682;3;347;3;failure;yes
41;admin.;single;secondary;no;-109;yes;yes;cellular;11;may;1038;1;370;1;failure;yes
43;management;divorced;tertiary;no;580;yes;no;cellular;11;may;1514;1;284;2;failure;yes
38;services;married;secondary;no;5293;yes;no;cellular;11;may;475;1;171;6;failure;yes
34;admin.;divorced;secondary;no;479;yes;no;cellular;12;may;515;1;350;5;failure;yes
38;housemaid;single;primary;no;199;yes;no;cellular;12;may;1203;1;306;1;failure;yes
39;management;single;tertiary;no;5073;yes;no;cellular;12;may;1182;1;286;4;failure;yes
39;admin.;married;secondary;no;607;yes;no;cellular;12;may;454;2;364;3;failure;yes
47;services;married;secondary;no;367;yes;no;cellular;12;may;309;1;306;4;success;yes
35;blue-collar;single;secondary;no;855;yes;no;cellular;12;may;549;1;300;1;success;yes
46;blue-collar;married;primary;no;804;yes;no;cellular;12;may;1063;2;361;1;success;yes
59;admin.;married;secondary;no;145;yes;no;telephone;12;may;556;2;287;13;success;yes
36;blue-collar;married;primary;no;319;yes;no;cellular;13;may;774;2;301;1;failure;yes
33;technician;married;secondary;no;221;yes;no;cellular;13;may;669;1;355;4;failure;yes
28;admin.;divorced;secondary;no;451;yes;no;cellular;13;may;302;1;301;1;success;yes
42;blue-collar;single;secondary;no;1080;yes;yes;cellular;13;may;951;3;370;4;failure;yes
34;management;single;tertiary;no;76;yes;no;cellular;13;may;747;2;371;3;failure;yes
35;management;single;tertiary;no;1396;yes;no;cellular;13;may;809;1;300;1;failure;yes
51;blue-collar;divorced;primary;no;-19;yes;no;cellular;13;may;829;1;296;11;failure;yes
50;technician;divorced;secondary;no;-54;yes;yes;cellular;13;may;698;2;292;1;failure;yes
40;blue-collar;married;primary;no;830;yes;no;cellular;13;may;873;3;370;2;failure;yes
36;admin.;divorced;secondary;no;437;yes;no;cellular;14;may;722;2;344;1;success;yes
31;self-employed;single;tertiary;no;17924;yes;no;cellular;14;may;745;1;174;3;failure;yes
55;blue-collar;divorced;primary;no;8180;no;no;cellular;14;may;854;2;360;1;failure;yes
35;blue-collar;single;secondary;no;4963;yes;no;cellular;14;may;456;1;300;1;failure;yes
31;admin.;married;secondary;no;8781;yes;no;cellular;14;may;680;1;177;1;success;yes
48;blue-collar;married;primary;no;214;yes;yes;cellular;14;may;307;1;177;2;failure;yes
41;blue-collar;married;secondary;no;580;yes;no;cellular;14;may;874;1;363;1;failure;yes
34;management;married;tertiary;no;273;yes;no;cellular;14;may;492;1;175;2;failure;yes
36;self-employed;divorced;tertiary;no;1354;yes;no;cellular;14;may;1723;1;356;2;success;yes
35;blue-collar;divorced;secondary;no;336;yes;no;cellular;14;may;191;1;346;2;failure;yes
31;blue-collar;single;secondary;no;953;yes;no;cellular;14;may;479;1;346;2;success;yes
30;admin.;single;secondary;no;315;yes;no;cellular;14;may;884;3;346;4;failure;yes
42;services;married;secondary;no;146;yes;yes;cellular;15;may;670;4;346;1;failure;yes
56;services;single;secondary;no;-40;yes;no;cellular;15;may;311;1;368;2;failure;yes
26;services;married;secondary;no;77;yes;no;cellular;15;may;619;1;340;4;failure;yes
35;admin.;divorced;secondary;no;534;no;no;cellular;15;may;669;1;312;3;failure;yes
35;housemaid;married;tertiary;no;1265;yes;no;cellular;15;may;326;5;179;4;failure;yes
31;admin.;married;secondary;no;685;yes;no;cellular;15;may;552;1;329;3;failure;yes
29;services;married;secondary;no;6567;yes;no;cellular;15;may;792;2;298;1;failure;yes
39;entrepreneur;married;secondary;no;2139;yes;no;cellular;15;may;576;4;371;1;failure;yes
54;unemployed;married;secondary;no;582;yes;no;cellular;15;may;693;5;372;2;failure;yes
25;admin.;single;secondary;no;507;yes;no;cellular;15;may;832;1;367;3;failure;yes
48;blue-collar;married;secondary;no;480;yes;no;cellular;15;may;830;1;352;2;failure;yes
40;admin.;married;secondary;no;2574;yes;no;cellular;15;may;432;1;176;1;failure;yes
36;admin.;single;secondary;no;148;yes;no;cellular;15;may;1357;4;374;2;failure;yes
37;blue-collar;married;primary;no;2120;yes;no;cellular;15;may;655;3;175;4;failure;yes
51;management;single;tertiary;no;297;yes;no;cellular;15;may;415;4;375;1;failure;yes
35;blue-collar;married;secondary;no;205;yes;yes;cellular;15;may;1313;7;312;1;failure;yes
29;blue-collar;married;secondary;no;-493;yes;no;cellular;18;may;536;2;334;4;failure;yes
40;admin.;single;secondary;no;2040;yes;no;cellular;18;may;906;2;350;2;failure;yes
32;technician;single;secondary;no;230;yes;no;cellular;18;may;442;1;266;8;failure;yes
31;blue-collar;single;secondary;no;239;yes;no;cellular;18;may;666;1;360;1;success;yes
55;retired;divorced;tertiary;no;0;no;no;cellular;18;may;616;1;370;1;success;yes
36;housemaid;single;secondary;no;1015;yes;no;cellular;18;may;1008;1;347;2;success;yes
45;technician;divorced;secondary;no;-357;yes;yes;cellular;18;may;618;1;355;2;failure;yes
32;blue-collar;married;primary;no;-454;yes;yes;cellular;18;may;801;5;355;2;failure;yes
33;blue-collar;married;secondary;no;139;yes;yes;cellular;18;may;732;2;291;5;failure;yes
38;technician;single;secondary;no;-242;yes;no;cellular;18;may;1173;3;278;6;success;yes
35;services;single;secondary;no;719;yes;no;cellular;18;may;1359;3;368;3;failure;yes
29;unemployed;single;tertiary;no;497;yes;no;cellular;18;may;642;3;298;6;success;yes
45;admin.;divorced;secondary;no;397;yes;yes;cellular;22;may;582;1;95;2;success;yes
32;technician;single;tertiary;no;1625;no;no;cellular;22;may;796;1;109;1;failure;yes
37;services;married;secondary;no;1543;yes;no;cellular;22;may;298;1;10;6;failure;yes
39;management;single;tertiary;no;0;yes;no;cellular;22;may;271;1;93;3;success;yes
43;services;married;secondary;no;2145;no;no;cellular;22;may;271;1;183;3;failure;yes
26;student;single;secondary;no;620;no;no;cellular;22;may;223;1;94;1;success;yes
43;management;divorced;unknown;no;7702;no;no;cellular;22;may;460;1;95;2;success;yes
27;student;single;tertiary;no;3733;yes;no;cellular;22;may;198;1;98;6;success;yes
42;management;married;primary;no;5310;yes;no;cellular;22;may;545;2;186;1;success;yes
43;admin.;single;secondary;no;733;yes;no;cellular;25;may;282;1;187;3;success;yes
60;retired;divorced;tertiary;no;439;no;yes;cellular;25;may;464;1;321;1;failure;yes
28;technician;single;tertiary;no;0;yes;no;cellular;25;may;269;1;40;2;failure;yes
24;blue-collar;single;secondary;no;167;no;yes;cellular;25;may;288;1;96;2;success;yes
36;technician;married;tertiary;no;911;yes;yes;cellular;25;may;117;2;21;3;failure;yes
32;technician;single;tertiary;no;705;yes;no;cellular;25;may;414;2;35;4;failure;yes
33;technician;single;tertiary;no;109;yes;yes;cellular;25;may;601;2;10;7;failure;yes
24;student;single;secondary;no;23878;no;no;cellular;26;may;133;1;97;1;success;yes
58;retired;married;secondary;no;2714;no;no;cellular;26;may;165;1;287;2;failure;yes
32;management;single;tertiary;no;312;no;no;cellular;26;may;208;2;98;2;success;yes
47;admin.;divorced;secondary;no;2232;no;no;cellular;27;may;439;1;103;1;success;yes
37;admin.;married;secondary;no;1967;no;no;cellular;27;may;242;1;212;1;success;yes
26;admin.;single;secondary;no;2509;no;no;cellular;27;may;776;3;97;3;success;yes
25;admin.;single;tertiary;no;760;yes;no;cellular;27;may;223;3;89;2;failure;yes
55;admin.;married;secondary;no;602;no;no;cellular;1;jun;324;3;90;2;success;yes
49;management;married;tertiary;no;1808;yes;no;cellular;1;jun;205;1;95;1;success;yes
45;admin.;married;tertiary;no;2552;no;no;cellular;1;jun;69;1;293;7;failure;yes
47;technician;married;secondary;no;293;no;no;cellular;1;jun;251;1;90;1;success;yes
54;services;divorced;secondary;no;0;no;no;cellular;1;jun;174;1;81;2;success;yes
47;management;married;tertiary;no;2351;no;no;cellular;2;jun;163;2;84;1;success;yes
26;admin.;single;tertiary;no;313;no;yes;cellular;2;jun;199;1;96;2;success;yes
38;admin.;married;tertiary;no;1988;no;no;cellular;2;jun;103;1;67;4;success;yes
42;services;married;secondary;no;1376;yes;no;cellular;2;jun;271;2;92;4;success;yes
49;technician;married;tertiary;no;523;yes;no;cellular;2;jun;712;1;60;3;failure;yes
27;technician;single;tertiary;no;15161;no;no;cellular;2;jun;74;1;120;1;success;yes
49;services;married;secondary;no;7019;yes;no;cellular;2;jun;263;1;368;3;failure;yes
28;technician;single;tertiary;no;4987;no;no;cellular;2;jun;924;2;113;21;success;yes
49;management;married;tertiary;no;5887;no;no;cellular;2;jun;181;3;293;2;failure;yes
29;technician;married;secondary;no;23;yes;no;cellular;2;jun;163;1;55;2;failure;yes
34;unemployed;married;secondary;no;978;no;no;cellular;3;jun;262;2;71;1;success;yes
32;self-employed;married;secondary;no;409;no;no;cellular;3;jun;115;2;86;2;success;yes
42;blue-collar;married;secondary;no;2913;no;no;cellular;3;jun;705;1;195;1;failure;yes
29;management;single;tertiary;no;637;yes;no;cellular;3;jun;340;1;119;1;failure;yes
26;technician;single;secondary;no;1231;yes;no;cellular;3;jun;385;2;96;5;success;yes
26;management;single;tertiary;no;2786;no;no;cellular;3;jun;300;2;72;1;success;yes
39;unemployed;married;tertiary;no;201;no;no;cellular;3;jun;699;1;119;1;failure;yes
43;blue-collar;married;primary;no;3917;no;no;cellular;3;jun;725;2;93;1;success;yes
35;services;married;secondary;no;52;yes;no;cellular;4;jun;328;2;94;4;success;yes
41;services;married;secondary;no;0;yes;yes;cellular;4;jun;352;2;122;2;failure;yes
38;technician;single;secondary;no;1130;no;no;cellular;4;jun;96;2;98;1;success;yes
38;entrepreneur;divorced;secondary;no;1190;yes;no;cellular;4;jun;81;2;391;3;failure;yes
35;blue-collar;married;secondary;no;563;no;yes;cellular;4;jun;147;1;119;3;failure;yes
31;management;single;tertiary;no;617;no;no;cellular;4;jun;1161;1;97;2;success;yes
34;admin.;single;secondary;no;303;no;no;cellular;4;jun;282;3;126;3;failure;yes
40;admin.;single;secondary;no;985;yes;no;cellular;4;jun;592;3;50;8;failure;yes
28;management;single;secondary;no;171;no;no;cellular;5;jun;324;1;87;1;success;yes
35;admin.;divorced;secondary;no;1085;no;no;cellular;5;jun;199;1;86;7;success;yes
25;self-employed;single;tertiary;no;42;yes;no;cellular;5;jun;149;1;94;1;success;yes
31;management;single;tertiary;no;924;no;no;cellular;5;jun;207;2;98;1;success;yes
22;blue-collar;single;secondary;no;682;no;no;cellular;5;jun;126;2;91;1;success;yes
32;admin.;single;tertiary;no;8866;no;no;cellular;9;jun;234;2;83;2;success;yes
36;entrepreneur;divorced;tertiary;no;3407;no;no;cellular;9;jun;993;4;85;4;success;yes
60;management;married;secondary;no;544;no;no;cellular;12;jun;95;7;357;2;failure;yes
59;technician;married;secondary;no;259;no;no;cellular;15;jun;415;1;89;1;success;yes
26;admin.;married;secondary;no;1595;no;no;cellular;15;jun;155;1;105;1;failure;yes
37;admin.;single;tertiary;no;1000;yes;no;cellular;15;jun;322;1;90;1;success;yes
34;management;married;tertiary;no;2374;yes;yes;cellular;18;jun;270;2;314;2;failure;yes
49;management;single;tertiary;no;7443;no;no;telephone;19;jun;293;5;211;2;failure;yes
83;retired;married;primary;no;425;no;no;telephone;22;jun;883;1;140;1;failure;yes
61;management;married;tertiary;no;997;no;no;cellular;22;jun;269;1;104;1;success;yes
37;admin.;married;secondary;no;2061;yes;yes;cellular;22;jun;459;1;109;3;failure;yes
72;self-employed;married;tertiary;no;132;no;no;cellular;1;jul;260;2;65;1;success;yes
40;management;married;tertiary;no;2763;yes;no;cellular;2;jul;566;1;395;2;success;yes
42;entrepreneur;married;secondary;no;2959;yes;no;telephone;2;jul;711;1;342;1;failure;yes
28;management;single;tertiary;no;12956;yes;no;cellular;2;jul;940;1;399;3;success;yes
39;admin.;divorced;secondary;no;19;yes;no;cellular;2;jul;503;2;147;5;success;yes
31;blue-collar;married;secondary;no;625;yes;no;cellular;2;jul;135;2;49;3;failure;yes
30;unemployed;married;tertiary;no;330;no;no;cellular;3;jul;264;1;80;1;success;yes
37;services;married;secondary;no;981;no;no;cellular;7;jul;682;2;386;1;success;yes
38;unemployed;married;primary;no;7005;yes;no;cellular;7;jul;370;1;412;1;failure;yes
31;management;single;secondary;no;202;yes;no;cellular;8;jul;167;1;62;1;failure;yes
31;management;single;tertiary;no;307;no;no;cellular;8;jul;361;1;229;2;failure;yes
38;student;married;unknown;no;0;no;no;cellular;8;jul;341;1;385;1;failure;yes
44;entrepreneur;single;unknown;no;323;no;no;cellular;28;jul;332;2;181;2;failure;yes
25;management;single;tertiary;no;219;no;no;cellular;4;aug;576;1;96;1;success;yes
47;technician;married;secondary;no;1167;yes;no;cellular;4;aug;505;1;96;6;success;yes
40;technician;single;tertiary;no;1646;yes;no;cellular;4;aug;173;1;92;5;success;yes
46;management;married;tertiary;no;242;no;no;cellular;4;aug;120;2;96;1;success;yes
55;management;divorced;tertiary;no;2383;no;no;cellular;5;aug;1019;2;63;2;success;yes
30;self-employed;married;tertiary;no;2666;no;no;cellular;5;aug;475;2;93;4;success;yes
48;management;married;tertiary;no;1147;no;no;cellular;5;aug;389;1;64;2;success;yes
47;management;single;tertiary;no;86;no;no;cellular;5;aug;253;1;97;4;success;yes
20;student;married;unknown;no;292;no;no;cellular;5;aug;385;2;93;1;failure;yes
37;unemployed;single;tertiary;no;1291;no;no;cellular;5;aug;150;1;97;2;success;yes
40;management;married;tertiary;no;0;no;no;cellular;6;aug;131;2;98;6;success;yes
53;admin.;divorced;secondary;no;0;yes;yes;cellular;6;aug;1452;1;98;2;failure;yes
46;management;married;tertiary;no;4693;no;yes;cellular;7;aug;79;1;394;2;failure;yes
41;admin.;married;tertiary;no;1536;no;no;cellular;7;aug;273;1;95;2;failure;yes
